,District name,OutcomeRatePct
671,New Haven School District,48.58548
672,New Haven School District,53.661295
673,New Haven School District,60.236587
674,New Haven School District,49.977027
675,New Haven School District,57.255814
676,New Haven School District,57.393481
677,New Haven School District,55.884507
678,New Haven School District,54.418077
679,New Haven School District,62.607607
680,New Haven School District,41.07963
681,New Haven School District,50.558217
682,New Haven School District,61.64301
683,New Haven School District,52.939516
684,New Haven School District,43.534501
685,New Haven School District,53.624198
686,New Haven School District,77.58085
687,Newington School District,71.658902
688,Newington School District,70.067579
689,Newington School District,72.089627
690,Newington School District,63.784963
691,Newington School District,62.848285
692,Newington School District,74.882649
693,Newington School District,75.229525
694,New London School District,46.531761
695,New London School District,45.238204
696,New London School District,50.350979
697,New London School District,48.155328
698,New London School District,51.330714
699,New London School District,49.884828
700,New London School District,64.70592
701,New London School District,45.298007
702,New London School District,67.180103
703,New Milford School District,48.012196
704,New Milford School District,68.411902
705,New Milford School District,41.010456
706,New Milford School District,65.524184
707,New Milford School District,56.193412
708,Newtown School District,82.529364
709,Newtown School District,85.243422
710,Newtown School District,81.467779
711,Newtown School District,80.252809
712,Newtown School District,68.058306
713,Newtown School District,72.998238
714,Newtown School District,78.523937
715,Norfolk School District,47.649363
716,North Branford School District,64.710243
717,North Branford School District,78.424992
718,North Branford School District,64.651444
719,North Branford School District,82.372659
720,North Canaan School District,73.562339
721,North Haven School District,75.193909
722,North Haven School District,77.522413
723,North Haven School District,83.264138
724,North Haven School District,78.928831
725,North Haven School District,70.736199
726,North Haven School District,68.831609
727,North Stonington School District,69.25131
728,North Stonington School District,70.260622
729,Norwalk School District,63.635406
730,Norwalk School District,63.742625
731,Norwalk School District,80.033349
732,Norwalk School District,74.155007
733,Norwalk School District,71.126272
734,Norwalk School District,63.134484
735,Norwalk School District,65.193115
736,Norwalk School District,64.029505
737,Norwalk School District,68.19601
738,Norwalk School District,67.622583
739,Norwalk School District,59.561719
740,Norwalk School District,61.545364
741,Norwalk School District,73.554535
742,Norwalk School District,58.868748
743,Norwalk School District,60.319977
744,Norwalk School District,69.354816
745,Norwalk School District,68.781717
746,Norwalk School District,0.0
747,Norwalk School District,63.040723
748,Norwalk School District,62.839747
749,Norwalk School District,70.337908
750,Norwich School District,56.691673
751,Norwich School District,47.981032
752,Norwich School District,57.475829
753,Norwich School District,53.391215
754,Norwich School District,43.493657
755,Norwich School District,68.747359
756,Norwich School District,62.721771
757,Norwich School District,55.438446
758,Norwich School District,52.562613
759,Old Saybrook School District,70.541996
760,Old Saybrook School District,72.935696
761,Old Saybrook School District,75.092948
762,Orange School District,45.893417
763,Orange School District,81.472711
764,Orange School District,71.930447
765,Orange School District,81.56457
766,Oxford School District,80.600355
767,Oxford School District,75.0385
768,Oxford School District,58.843146
769,Oxford School District,70.990991
770,Plainfield School District,66.266989
771,Plainfield School District,60.960772
772,Plainfield School District,62.403501
773,Plainfield School District,77.485619
774,Plainfield School District,68.349055
775,Plainville School District,64.301831
776,Plainville School District,68.973561
777,Plainville School District,70.667759
778,Plainville School District,64.716845
779,Plainville School District,72.847699
780,Plymouth School District,60.105351
781,Plymouth School District,67.285083
782,Plymouth School District,8.148148
783,Plymouth School District,65.715335
784,Pomfret School District,73.360551
785,Portland School District,63.741351
786,Portland School District,78.013245
787,Portland School District,78.951722
788,Portland School District,62.366602
789,Portland School District,54.546073
790,Preston School District,73.657088
791,Preston School District,74.132928
792,Putnam School District,61.079097
793,Putnam School District,68.425129
794,Putnam School District,50.137881
795,Redding School District,74.104836
796,Redding School District,72.655763
797,Ridgefield School District,73.975333
798,Ridgefield School District,85.887565
799,Ridgefield School District,74.54228
800,Ridgefield School District,89.65974
801,Ridgefield School District,84.638663
802,Ridgefield School District,85.336578
803,Ridgefield School District,81.613618
804,Ridgefield School District,78.050638
805,Ridgefield School District,90.105934
806,Rocky Hill School District,72.770071
807,Rocky Hill School District,77.967225
808,Rocky Hill School District,81.209714
809,Rocky Hill School District,80.616128
810,Rocky Hill School District,92.378485
811,Salem School District,62.632864
812,Salisbury School District,72.306982
813,Scotland School District,63.197616
814,Seymour School District,71.947915
815,Seymour School District,74.296513
816,Seymour School District,71.910285
817,Seymour School District,68.224368
818,Sharon School District,71.704705
819,Shelton School District,76.611048
820,Shelton School District,69.998658
821,Shelton School District,60.885764
822,Shelton School District,76.103627
823,Shelton School District,70.24495
824,Shelton School District,69.770404
825,Shelton School District,71.372588
826,Shelton School District,79.981473
827,Sherman School District,67.748732
828,Simsbury School District,74.056329
829,Simsbury School District,66.901144
830,Simsbury School District,74.982192
831,Simsbury School District,83.826586
832,Simsbury School District,79.69547
833,Simsbury School District,76.223764
834,Simsbury School District,79.533622
835,Somers School District,72.269657
836,Somers School District,73.352777
837,Somers School District,75.800294
838,Southington School District,72.706812
839,Southington School District,65.507151
840,Southington School District,62.287099
841,Southington School District,72.757047
842,Southington School District,79.17409
843,Southington School District,74.894568
844,Southington School District,80.041315
845,Southington School District,76.492232
846,Southington School District,73.576351
847,Southington School District,78.468312
848,Southington School District,75.121963
849,South Windsor School District,73.030271
850,South Windsor School District,85.977501
851,South Windsor School District,83.785372
852,South Windsor School District,76.227665
853,South Windsor School District,82.540481
854,South Windsor School District,66.791685
855,Sprague School District,51.960677
856,Stafford School District,72.26236
857,Stafford School District,77.328079
858,Stafford School District,57.392507
859,Stafford School District,20.0
860,Stamford School District,44.956626
861,Stamford School District,68.011069
862,Stamford School District,51.349787
863,Stamford School District,61.419623
864,Stamford School District,64.663194
865,Stamford School District,55.776228
866,Stamford School District,62.62122
867,Stamford School District,57.704013
868,Stamford School District,45.074325
869,Stamford School District,71.596903
870,Stamford School District,59.017289
871,Stamford School District,60.693044
872,Stamford School District,63.668611
873,Stamford School District,64.202072
874,Stamford School District,60.791207
875,Stamford School District,71.436065
876,Stamford School District,75.219912
877,Stamford School District,54.720273
878,Stamford School District,43.659269
879,Stamford School District,62.41184
880,Stamford School District,67.407743
881,Sterling School District,56.423581
882,Stonington School District,85.575397
883,Stonington School District,82.681053
884,Stonington School District,61.74154
885,Stonington School District,70.772221
886,Stratford School District,66.073365
887,Stratford School District,60.366097
888,Stratford School District,49.333289
889,Stratford School District,77.278661
890,Stratford School District,64.743006
891,Stratford School District,48.641322
892,Stratford School District,57.589935
893,Stratford School District,64.029229
894,Stratford School District,69.259334
895,Stratford School District,52.123086
896,Stratford School District,66.665638
897,Stratford School District,65.532627
898,Suffield School District,70.519481
899,Suffield School District,70.151616
900,Suffield School District,76.02293
901,Suffield School District,66.482235
902,Thomaston School District,73.130411
903,Thomaston School District,71.20444
904,Thomaston School District,70.453221
905,Thompson School District,55.601492
906,Thompson School District,56.604707
907,Thompson School District,64.960663
908,Tolland School District,67.034765
909,Tolland School District,77.339642
910,Tolland School District,80.398998
911,Tolland School District,74.673897
912,Torrington School District,67.99311
913,Torrington School District,70.754331
914,Torrington School District,68.406945
915,Torrington School District,62.556068
916,Torrington School District,50.770086
917,Torrington School District,65.74522
918,Trumbull School District,83.605168
919,Trumbull School District,88.665639
920,Trumbull School District,88.999216
921,Trumbull School District,75.771136
922,Trumbull School District,83.039783
923,Trumbull School District,77.07245
924,Trumbull School District,89.293015
925,Trumbull School District,91.660609
926,Trumbull School District,85.750328
927,Union School District,62.945381
928,Vernon School District,73.499936
929,Vernon School District,69.464217
930,Vernon School District,72.51248
931,Vernon School District,78.556646
932,Vernon School District,66.800738
933,Vernon School District,75.066691
934,Vernon School District,65.618106
935,Voluntown School District,68.696587
936,Wallingford School District,57.565862
937,Wallingford School District,53.534257
938,Wallingford School District,45.713129
939,Wallingford School District,58.231448
940,Wallingford School District,57.175958
941,Wallingford School District,67.757604
942,Wallingford School District,73.740161
943,Wallingford School District,81.043081
944,Wallingford School District,15.636364
945,Wallingford School District,70.967976
